title;corporation;nome_cinema;sala;type;cidade;bairro;estado;price;dayOfWeek;dayAndMonth;hour;year;data
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 2;Nacional - 3D;Cotia;Lageadinho;São Paulo;36.48;sexta-feira;22/07;15:40;2022;2022-07-22T15:40:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;31.92;sexta-feira;22/07;15:00;2022;2022-07-22T15:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;31.92;sexta-feira;22/07;17:00;2022;2022-07-22T17:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;31.92;sexta-feira;22/07;19:00;2022;2022-07-22T19:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 2;Nacional - 3D;Cotia;Lageadinho;São Paulo;36.48;sábado;23/07;15:40;2022;2022-07-23T15:40:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;31.92;sábado;23/07;15:00;2022;2022-07-23T15:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;31.92;sábado;23/07;17:00;2022;2022-07-23T17:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;31.92;sábado;23/07;19:00;2022;2022-07-23T19:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 2;Nacional - 3D;Cotia;Lageadinho;São Paulo;36.48;domingo;24/07;15:40;2022;2022-07-24T15:40:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;31.92;domingo;24/07;15:00;2022;2022-07-24T15:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;31.92;domingo;24/07;17:00;2022;2022-07-24T17:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;31.92;domingo;24/07;19:00;2022;2022-07-24T19:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 2;Nacional - 3D;Cotia;Lageadinho;São Paulo;15.96;segunda-feira;25/07;15:40;2022;2022-07-25T15:40:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;13.68;segunda-feira;25/07;15:00;2022;2022-07-25T15:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;13.68;segunda-feira;25/07;17:00;2022;2022-07-25T17:00:00-03:00
Pluft, o Fantasminha;Cineflix;Cineflix The Square Granja Viana;Sala 6;Nacional - Normal;Cotia;Lageadinho;São Paulo;13.68;segunda-feira;25/07;19:00;2022;2022-07-25T19:00:00-03:00
