title;corporation;nome_cinema;sala;type;cidade;bairro;estado;price;dayOfWeek;dayAndMonth;hour;year;data
Os Suburbanos - O Filme;Cinemark;Cinemark Downtown;Sala 2;Nacional - Normal;Rio de Janeiro;Barra da Tijuca;Rio de Janeiro;38.76;sexta-feira;14/10;21:50;2022;2022-10-14T21:50:00-03:00
Os Suburbanos - O Filme;Cinemark;Cinemark Downtown;Sala 2;Nacional - Normal;Rio de Janeiro;Barra da Tijuca;Rio de Janeiro;38.76;sábado;15/10;21:50;2022;2022-10-15T21:50:00-03:00
Os Suburbanos - O Filme;Cinemark;Cinemark Downtown;Sala 2;Nacional - Normal;Rio de Janeiro;Barra da Tijuca;Rio de Janeiro;38.76;domingo;16/10;21:20;2022;2022-10-16T21:20:00-03:00
Os Suburbanos - O Filme;Cinemark;Cinemark Downtown;Sala 2;Nacional - Normal;Rio de Janeiro;Barra da Tijuca;Rio de Janeiro;25.08;segunda-feira;17/10;21:50;2022;2022-10-17T21:50:00-03:00
Os Suburbanos - O Filme;Cinemark;Cinemark Downtown;Sala 2;Nacional - Normal;Rio de Janeiro;Barra da Tijuca;Rio de Janeiro;25.08;terça-feira;18/10;21:50;2022;2022-10-18T21:50:00-03:00
Os Suburbanos - O Filme;Cinemark;Cinemark Botafogo;Sala 3;Nacional - Normal;Rio de Janeiro;Botafogo;Rio de Janeiro;41.04;sexta-feira;14/10;14:25;2022;2022-10-14T14:25:00-03:00
Os Suburbanos - O Filme;Cinemark;Cinemark Botafogo;Sala 3;Nacional - Normal;Rio de Janeiro;Botafogo;Rio de Janeiro;41.04;sábado;15/10;14:25;2022;2022-10-15T14:25:00-03:00
Os Suburbanos - O Filme;Cinemark;Cinemark Botafogo;Sala 3;Nacional - Normal;Rio de Janeiro;Botafogo;Rio de Janeiro;41.04;domingo;16/10;14:25;2022;2022-10-16T14:25:00-03:00
Os Suburbanos - O Filme;Cinemark;Cinemark Botafogo;Sala 3;Nacional - Normal;Rio de Janeiro;Botafogo;Rio de Janeiro;31.92;segunda-feira;17/10;14:25;2022;2022-10-17T14:25:00-03:00
Os Suburbanos - O Filme;Cinemark;Cinemark Botafogo;Sala 3;Nacional - Normal;Rio de Janeiro;Botafogo;Rio de Janeiro;31.92;terça-feira;18/10;14:25;2022;2022-10-18T14:25:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Bay Market;Sala 3;Nacional - Normal;Niterói;Centro;Rio de Janeiro;31.92;sexta-feira;14/10;16:30;2022;2022-10-14T16:30:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Bay Market;Sala 3;Nacional - Normal;Niterói;Centro;Rio de Janeiro;36.48;sábado;15/10;16:30;2022;2022-10-15T16:30:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Bay Market;Sala 3;Nacional - Normal;Niterói;Centro;Rio de Janeiro;36.48;domingo;16/10;15:20;2022;2022-10-16T15:20:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Bay Market;Sala 3;Nacional - Normal;Niterói;Centro;Rio de Janeiro;36.48;segunda-feira;17/10;16:30;2022;2022-10-17T16:30:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Bay Market;Sala 3;Nacional - Normal;Niterói;Centro;Rio de Janeiro;31.92;terça-feira;18/10;16:30;2022;2022-10-18T16:30:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Bay Market;Sala 3;Nacional - Normal;Niterói;Centro;Rio de Janeiro;31.92;quarta-feira;19/10;15:50;2022;2022-10-19T15:50:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Shopping Boulevard RJ;Sala 2;Nacional - Normal;Rio de Janeiro;Vila Isabel;Rio de Janeiro;29.64;sexta-feira;14/10;15:00;2022;2022-10-14T15:00:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Shopping Boulevard RJ;Sala 7;Nacional - Normal;Rio de Janeiro;Vila Isabel;Rio de Janeiro;29.64;sábado;15/10;14:25;2022;2022-10-15T14:25:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Shopping Boulevard RJ;Sala 7;Nacional - Normal;Rio de Janeiro;Vila Isabel;Rio de Janeiro;29.64;domingo;16/10;14:25;2022;2022-10-16T14:25:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Shopping Boulevard RJ;Sala 7;Nacional - Normal;Rio de Janeiro;Vila Isabel;Rio de Janeiro;19.38;segunda-feira;17/10;14:25;2022;2022-10-17T14:25:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Shopping Boulevard RJ;Sala 2;Nacional - Normal;Rio de Janeiro;Vila Isabel;Rio de Janeiro;19.38;terça-feira;18/10;15:00;2022;2022-10-18T15:00:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Nova América;Sala 4;Nacional - Normal;Rio de Janeiro;Del Castilho;Rio de Janeiro;38.76;sexta-feira;14/10;14:45;2022;2022-10-14T14:45:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Nova América;Sala 4;Nacional - Normal;Rio de Janeiro;Del Castilho;Rio de Janeiro;38.76;sexta-feira;14/10;18:50;2022;2022-10-14T18:50:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Nova América;Sala 4;Nacional - Normal;Rio de Janeiro;Del Castilho;Rio de Janeiro;38.76;sábado;15/10;14:45;2022;2022-10-15T14:45:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Nova América;Sala 4;Nacional - Normal;Rio de Janeiro;Del Castilho;Rio de Janeiro;38.76;sábado;15/10;18:50;2022;2022-10-15T18:50:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Nova América;Sala 4;Nacional - Normal;Rio de Janeiro;Del Castilho;Rio de Janeiro;38.76;domingo;16/10;14:45;2022;2022-10-16T14:45:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Nova América;Sala 4;Nacional - Normal;Rio de Janeiro;Del Castilho;Rio de Janeiro;38.76;domingo;16/10;18:50;2022;2022-10-16T18:50:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Nova América;Sala 4;Nacional - Normal;Rio de Janeiro;Del Castilho;Rio de Janeiro;38.76;segunda-feira;17/10;14:45;2022;2022-10-17T14:45:00-03:00
Os Suburbanos - O Filme;Kinoplex;Kinoplex Nova América;Sala 4;Nacional - Normal;Rio de Janeiro;Del Castilho;Rio de Janeiro;38.76;segunda-feira;17/10;18:50;2022;2022-10-17T18:50:00-03:00
